b,DRXFCSD,DRXFCLD
11740403,"b'INFANT FORMULA, ENFAMIL PREGESTIMIL, POWDER, MADE WITH WATER'","b'Infant formula, Enfamil Pregestimil, powder, made with water'"
11740405,"b'INFANT FORMULA, AMINO ACIDS'","b'Infant formula, amino acids'"
11740560,"b'INFANT FORMULA, LOW IRON'","b'Infant formula, low iron'"
11810000,"b'MILK, DRY, NOT RECONSTITUTED'","b'Milk, dry, not reconstituted'"
11825000,"b'WHEY, SWEET, DRY'","b'Whey, sweet, dry'"
11830150,"b'COCOA POWDER, NOT RECONSTITUTED'","b'Cocoa powder, not reconstituted'"
11830160,"b'CHOCOLATE BEVERAGE POWDER, DRY MIX, NOT RECONSTITUTED'","b'Chocolate beverage powder, dry mix, not reconstituted'"
11830165,"b'CHOCOLATE BEVERAGE POWDER, LIGHT, DRY MIX, NOT RECONSTITUTED'","b'Chocolate beverage powder, light, dry mix, not reconstituted'"
11830260,"b'MILK, MALTED, DRY MIX, NOT RECONSTITUTED'","b'Milk, malted, dry mix, not reconstituted'"
11830400,"b'STRAWBERRY BEVERAGE POWDER, DRY MIX, NOT RECONSTITUTED'","b'Strawberry beverage powder, dry mix, not reconstituted'"
12100100,"b'CREAM, NS AS TO LIGHT, HEAVY, OR HALF AND HALF'","b'Cream, NS as to light, heavy, or half and half'"
12110100,"b'CREAM, LIGHT'","b'Cream, light'"
12120100,"b'CREAM, HALF AND HALF'","b'Cream, half and half'"
12120106,"b'CREAM, HALF AND HALF, FLAVORED'","b'Cream, half and half, flavored'"
12120110,"b'CREAM, HALF AND HALF, FAT FREE'","b'Cream, half and half, fat free'"
12130100,"b'CREAM, HEAVY'","b'Cream, heavy'"
12140000,"b'CREAM, WHIPPED'","b'Cream, whipped'"
12200100,"b'COFFEE CREAMER, NFS'","b'Coffee creamer, NFS'"
12210200,"b'COFFEE CREAMER, LIQUID'","b'Coffee creamer, liquid'"
12210210,"b'COFFEE CREAMER, LIQUID, FLAVORED'","b'Coffee creamer, liquid, flavored'"
12210260,"b'COFFEE CREAMER, LIQUID, FAT FREE'","b'Coffee creamer, liquid, fat free'"
12210270,"b'COFFEE CREAMER, LIQUID, FAT FREE, FLAVORED'","b'Coffee creamer, liquid, fat free, flavored'"
12210280,"b'COFFEE CREAMER, LIQUID, FAT FREE, SUGAR FREE, FLAVORED'","b'Coffee creamer, liquid, fat free, sugar free, flavored'"
12210310,"b'COFFEE CREAMER, LIQUID, SUGAR FREE, FLAVORED'","b'Coffee creamer, liquid, sugar free, flavored'"
12210400,"b'COFFEE CREAMER, POWDER'","b'Coffee creamer, powder'"
12210420,"b'COFFEE CREAMER, POWDER, FLAVORED'","b'Coffee creamer, powder, flavored'"
12210430,"b'COFFEE CREAMER, POWDER, FAT FREE'","b'Coffee creamer, powder, fat free'"
12210505,"b'COFFEE CREAMER,POWDER, SUGAR FREE, FLAVORED'","b'Coffee creamer,powder, sugar free, flavored'"
12210520,"b'COFFEE CREAMER, SOY, LIQUID'","b'Coffee creamer, soy, liquid'"
12220200,b'WHIPPED TOPPING',b'Whipped topping'
12220270,"b'WHIPPED TOPPING, FAT FREE'","b'Whipped topping, fat free'"
12220280,"b'WHIPPED TOPPING, SUGAR FREE'","b'Whipped topping, sugar free'"
12310100,"b'SOUR CREAM, REGULAR'","b'Sour cream, regular'"
12310350,"b'SOUR CREAM, LIGHT'","b'Sour cream, light'"
12310370,"b'SOUR CREAM, FAT FREE'","b'Sour cream, fat free'"
12320100,"b'SOUR CREAM, IMITATION'","b'Sour cream, imitation'"
12350010,"b'DIP, NFS'","b'Dip, NFS'"
12350200,"b'CHIPOTLE DIP, REGULAR'","b'Chipotle dip, regular'"
12350205,"b'CHIPOTLE DIP, LIGHT'","b'Chipotle dip, light'"
12350220,"b'ONION DIP, REGULAR'","b'Onion dip, regular'"
12350225,"b'ONION DIP, LIGHT'","b'Onion dip, light'"
